Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,17
10,25
11,66
12,246
13,719
14,1507
15,2263
16,2611
17,2777
18,2862
19,2763
20,2133
21,1447
22,697
23,304
24,105
25,32
26,24
27,24
28,14
29,21
30,19
31,16
32,17
33,14
34,13
35,28
36,25
37,26
38,46
39,64
40,68
41,56
42,67
43,66
44,69
45,51
46,47
47,51
48,50
49,68
50,61
51,68
52,81
53,87
54,97
55,105
56,150
57,217
58,325
59,444
60,550
61,605
62,678
63,635
64,576
65,548
66,394
67,309
68,183
69,91
70,61
71,17
72,9
73,13
74,7
75,7
76,3
77,18
78,8
79,6
80,10
81,8
82,11
83,8
84,11
85,11
86,5
87,16
88,11
89,8
90,8
91,9
92,6
93,12
94,10
95,10
96,7
97,16
98,13
99,4
100,3
101,3
102,12
103,8
104,5
105,10
106,9
107,7
108,8
109,9
110,9
111,5
112,7
113,8
114,6
115,14
116,11
117,9
118,4
119,8
120,10
121,10
122,2
123,4
124,6
125,6
126,6
127,11
128,12
129,10
130,5
131,10
132,8
133,7
134,8
135,11
136,11
137,7
138,6
139,6
140,10
141,6
142,8
143,12
144,9
145,14
146,5
147,10
148,8
149,10
150,13
151,6
152,8
153,6
154,8
155,6
156,8
157,7
158,10
159,3
160,8
161,7
162,8
163,5
164,5
165,3
166,7
167,4
168,10
169,3
170,5
171,11
172,9
173,1
174,6
175,6
176,4
177,7
178,6
179,4
180,6
181,5
182,5
183,5
184,5
185,5
186,5
187,7
188,7
189,13
190,5
191,4
192,7
193,4
194,5
195,3
196,8
197,7
198,7
199,5
200,7
201,1
202,5
203,1
204,4
205,6
206,4
207,3
208,3
209,4
210,3
211,5
212,2
213,3
214,6
215,10
216,4
217,3
218,2
219,5
220,5
221,8
222,3
223,2
224,7
225,6
226,3
227,8
228,4
229,7
230,4
231,6
232,3
233,5
234,8
235,7
236,9
237,7
238,2
239,5
240,3
241,2
242,8
243,6
244,4
245,9
246,4
247,6
248,5
249,6
250,0
251,9
252,6
253,4
254,4
255,6
256,1
257,1
258,7
259,5
260,7
261,1
262,6
263,2
264,1
265,3
266,5
267,3
268,3
269,4
270,4
271,2
272,4
273,5
274,2
275,2
276,3
277,5
