#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:48:02
# Real time (s): 300.129
# Live time (s): 300.000
#
# Total counts:  30417
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  155
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
1	-23.078	0	0
2	-21.036	0	0
3	-18.994	0	0
4	-16.952	0	0
5	-14.910	0	0
6	-12.867	0	0
7	-10.825	0	0
8	-8.783	1	0.00333333
9	-6.741	17	0.0566667
10	-4.699	25	0.0833333
11	-2.657	66	0.22
12	-0.614	246	0.82
13	1.428	719	2.39667
14	3.470	1507	5.02333
15	5.512	2263	7.54333
16	7.554	2611	8.70333
17	9.597	2777	9.25667
18	11.639	2862	9.54
19	13.681	2763	9.21
20	15.723	2133	7.11
21	17.765	1447	4.82333
22	19.807	697	2.32333
23	21.850	304	1.01333
24	23.892	105	0.35
25	25.934	32	0.106667
26	27.976	24	0.08
27	30.018	24	0.08
28	32.060	14	0.0466667
29	34.103	21	0.07
30	36.145	19	0.0633333
31	38.187	16	0.0533333
32	40.229	17	0.0566667
33	42.271	14	0.0466667
34	44.313	13	0.0433333
35	46.356	28	0.0933333
36	48.398	25	0.0833333
37	50.440	26	0.0866667
38	52.482	46	0.153333
39	54.524	64	0.213333
40	56.566	68	0.226667
41	58.609	56	0.186667
42	60.651	67	0.223333
43	62.693	66	0.22
44	64.735	69	0.23
45	66.777	51	0.17
46	68.819	47	0.156667
47	70.862	51	0.17
48	72.904	50	0.166667
49	74.946	68	0.226667
50	76.988	61	0.203333
51	79.030	68	0.226667
52	81.072	81	0.27
53	83.115	87	0.29
54	85.157	97	0.323333
55	87.199	105	0.35
56	89.241	150	0.5
57	91.283	217	0.723333
58	93.325	325	1.08333
59	95.368	444	1.48
60	97.410	550	1.83333
61	99.452	605	2.01667
62	101.494	678	2.26
63	103.536	635	2.11667
64	105.578	576	1.92
65	107.621	548	1.82667
66	109.663	394	1.31333
67	111.705	309	1.03
68	113.747	183	0.61
69	115.789	91	0.303333
70	117.831	61	0.203333
71	119.874	17	0.0566667
72	121.916	9	0.03
73	123.958	13	0.0433333
74	126.000	7	0.0233333
75	128.042	7	0.0233333
76	130.084	3	0.01
77	132.127	18	0.06
78	134.169	8	0.0266667
79	136.211	6	0.02
80	138.253	10	0.0333333
81	140.295	8	0.0266667
82	142.337	11	0.0366667
83	144.380	8	0.0266667
84	146.422	11	0.0366667
85	148.464	11	0.0366667
86	150.506	5	0.0166667
87	152.548	16	0.0533333
88	154.590	11	0.0366667
89	156.633	8	0.0266667
90	158.675	8	0.0266667
91	160.717	9	0.03
92	162.759	6	0.02
93	164.801	12	0.04
94	166.843	10	0.0333333
95	168.886	10	0.0333333
96	170.928	7	0.0233333
97	172.970	16	0.0533333
98	175.012	13	0.0433333
99	177.054	4	0.0133333
100	179.096	3	0.01
101	181.139	3	0.01
102	183.181	12	0.04
103	185.223	8	0.0266667
104	187.265	5	0.0166667
105	189.307	10	0.0333333
106	191.349	9	0.03
107	193.392	7	0.0233333
108	195.434	8	0.0266667
109	197.476	9	0.03
110	199.518	9	0.03
111	201.560	5	0.0166667
112	203.602	7	0.0233333
113	205.645	8	0.0266667
114	207.687	6	0.02
115	209.729	14	0.0466667
116	211.771	11	0.0366667
117	213.813	9	0.03
118	215.855	4	0.0133333
119	217.898	8	0.0266667
120	219.940	10	0.0333333
121	221.982	10	0.0333333
