Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,0
9,190
10,2217
11,3166
12,3529
13,3708
14,3946
15,4453
16,5691
17,9460
18,20927
19,42679
20,68980
21,88873
22,98715
23,104712
24,108084
25,99248
26,77565
27,51671
28,31483
29,19454
30,12337
31,8847
32,8239
33,9266
34,10698
35,12133
36,13279
37,13766
38,13826
39,13172
40,12428
41,11569
42,11055
43,10862
44,10835
45,11393
46,11923
47,12338
48,12939
49,14089
50,16047
51,20253
52,27320
53,36993
54,49260
55,60712
56,69710
57,74524
58,74167
59,68303
60,59087
61,45628
62,32832
63,21079
64,13204
65,8376
66,5941
67,4884
68,4440
69,4497
70,4488
71,4719
72,4866
73,5296
74,5847
75,6633
76,7392
77,8286
78,8856
79,9525
80,9756
81,9768
82,9411
83,8646
84,7725
85,6896
86,6050
87,5253
88,4973
89,4689
90,4600
91,4632
92,4642
93,4780
94,4896
95,5014
96,5144
97,5325
98,5457
99,5517
100,5721
101,5944
102,6139
103,6278
104,6385
105,6629
106,6777
107,6723
108,6946
109,6912
110,6776
111,6744
112,6541
113,6339
114,6274
115,6147
116,5874
117,5683
118,5648
119,5301
120,5210
121,5084
122,5115
123,4964
124,4845
125,4770
126,4856
127,4719
128,4635
129,4552
130,4514
131,4294
132,4148
133,4075
134,4026
135,3868
136,3756
137,3643
138,3485
139,3338
140,3314
141,3221
142,3259
143,3165
144,3216
145,3109
146,3102
147,3033
148,2978
149,2882
150,2965
151,2873
152,2915
153,2763
154,2689
155,2520
156,2447
157,2403
158,2429
159,2379
160,2390
161,2331
162,2326
163,2288
164,2372
165,2419
166,2489
167,2522
168,2622
169,2752
170,3049
171,3093
172,3680
173,3862
174,4217
175,4620
176,4880
177,5213
178,5632
179,5898
180,5963
181,6271
182,6399
183,6540
184,6564
185,6847
186,7077
187,7389
188,7747
189,8336
190,8623
191,8913
192,9620
193,10013
194,10404
195,10976
196,11288
197,11590
198,11888
199,11895
200,11406
201,11241
202,10694
203,10188
204,9693
205,8865
206,8070
207,7614
208,6744
209,6428
210,5824
211,5483
212,5548
213,5490
214,5794
215,6285
216,6959
217,7917
218,9121
219,10446
220,11970
221,13737
222,15456
223,16973
224,18838
225,20985
