Channel	Counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	2
9	234
10	1372
11	1731
12	1758
13	1720
14	1776
15	1734
16	1831
17	1873
18	1861
19	1913
20	1930
21	1943
22	1946
23	1955
24	1921
25	1975
26	1962
27	1947
28	1971
29	1969
30	1973
31	1983
32	2028
33	2021
34	2004
35	1966
36	1891
37	1899
38	1916
39	1980
40	1947
41	1987
42	1933
43	2010
44	1936
45	1908
46	1951
47	1985
48	2127
49	2130
50	2186
51	2308
52	2251
53	2257
54	2194
55	2337
56	2295
57	2249
58	2192
59	2149
60	2067
61	2091
62	2005
63	1967
64	1974
65	1876
66	1885
67	1906
68	1922
69	1889
70	1833
71	1811
72	1908
73	1908
74	1853
75	1849
76	1845
77	1913
78	1897
79	1864
80	1873
81	1887
82	1943
83	1844
84	1923
85	1848
86	1866
87	1888
88	1917
89	1799
90	1889
91	1867
92	1905
93	1770
94	1810
95	1864
96	1840
97	1852
98	1856
99	1918
100	1926
101	1936
102	1957
103	1932
104	1862
105	1853
106	1840
107	1926
108	1966
109	2043
110	2015
111	2095
112	2152
113	2109
114	2256
115	2367
116	2389
117	2353
118	2436
119	2454
120	2432
121	2563
122	2449
123	2495
124	2441
125	2448
126	2518
127	2400
128	2511
129	2397
130	2326
131	2359
132	2379
133	2322
134	2303
135	2274
136	2259
137	2385
138	2305
139	2274
140	2255
141	2209
142	2185
143	2253
144	2233
145	2190
146	2178
147	2133
148	2119
149	2317
150	2014
151	2155
152	2145
153	2167
154	2058
155	2160
156	2096
157	2037
158	2076
159	2049
160	2025
161	2157
162	2066
163	1975
164	2046
165	2049
166	2015
167	2072
168	1974
169	1964
170	1967
171	2025
172	1968
173	1965
174	1976
175	1957
176	1976
177	1900
178	1956
179	1854
180	1974
181	1929
182	1905
183	1916
184	1981
185	2026
186	1907
187	1944
188	1931
189	1887
190	1922
191	1877
192	1944
193	1951
194	1913
195	2010
196	2002
197	1912
198	2021
199	1991
200	1955
201	1902
202	1903
203	1908
204	1886
205	1839
206	1901
207	1913
208	1846
209	1800
210	1800
211	1833
212	1634
213	1624
214	1581
215	1506
216	1497
217	1412
218	1360
219	1315
220	1282
221	1205
222	1170
223	1036
224	1135
225	1018
