Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,12
9,61
10,57
11,78
12,76
13,70
14,59
15,61
16,62
17,59
18,59
19,56
20,59
21,63
22,64
23,62
24,51
25,60
26,73
27,76
28,62
29,66
30,62
31,70
32,77
33,69
34,71
35,74
36,78
37,61
38,69
39,81
40,61
41,56
42,86
43,58
44,73
45,69
46,71
47,72
48,85
49,96
50,93
51,116
52,114
53,140
54,130
55,107
56,120
57,106
58,91
59,85
60,92
61,94
62,95
63,92
64,92
65,89
66,82
67,87
68,79
69,89
70,80
71,85
72,74
73,78
74,77
75,70
76,93
77,58
78,61
79,75
80,82
81,76
82,71
83,73
84,74
85,66
86,83
87,79
88,67
89,80
90,72
91,82
92,76
93,96
94,81
95,68
96,62
97,86
98,71
99,77
100,91
101,62
102,86
103,77
104,65
105,78
106,76
107,70
108,63
109,80
110,67
111,74
112,78
113,79
114,75
115,67
116,80
117,65
118,64
119,86
120,77
121,83
122,62
123,66
124,83
125,94
126,78
127,68
128,74
129,96
130,90
131,90
132,104
133,91
134,97
135,104
136,96
137,95
138,97
139,105
140,94
141,84
142,99
143,108
144,92
145,84
146,86
147,99
148,89
149,93
150,88
151,96
152,87
153,78
154,83
155,76
156,81
157,99
158,91
159,88
160,82
161,81
162,69
163,81
164,82
165,88
166,80
167,82
168,90
169,72
170,71
171,82
172,78
173,76
174,63
175,60
176,81
177,76
178,68
179,75
180,76
181,65
182,75
183,81
184,82
185,75
186,71
187,67
188,70
189,76
190,80
191,64
192,76
193,72
194,82
195,73
196,76
197,62
198,74
199,61
200,65
201,45
202,83
203,54
204,61
205,59
206,64
207,70
208,59
209,64
210,61
211,60
212,58
213,68
214,66
215,67
216,55
217,66
218,60
219,57
220,73
221,61
222,58
223,60
224,60
225,67
226,53
227,68
228,64
229,57
230,55
231,70
232,62
233,73
234,65
235,56
236,52
237,66
238,54
239,48
240,52
241,43
242,68
243,66
244,48
245,59
246,45
247,56
248,71
249,56
250,61
251,62
252,61
253,65
254,54
255,57
256,66
257,64
258,59
259,67
260,64
261,58
262,61
263,56
264,60
265,64
266,66
267,59
268,65
269,61
270,62
271,54
272,60
273,63
274,51
275,46
276,55
277,59
278,56
279,55
