#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:21:38
# Real time (s): 666.250
# Live time (s): 666.000
#
# Total counts:  40601
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  2186
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
1	-23.078	0	0
2	-21.036	0	0
3	-18.994	0	0
4	-16.952	0	0
5	-14.910	0	0
6	-12.867	0	0
7	-10.825	0	0
8	-8.783	12	0.018018
9	-6.741	61	0.0915916
10	-4.699	57	0.0855856
11	-2.657	78	0.117117
12	-0.614	76	0.114114
13	1.428	70	0.105105
14	3.470	59	0.0885886
15	5.512	61	0.0915916
16	7.554	62	0.0930931
17	9.597	59	0.0885886
18	11.639	59	0.0885886
19	13.681	56	0.0840841
20	15.723	59	0.0885886
21	17.765	63	0.0945946
22	19.807	64	0.0960961
23	21.850	62	0.0930931
24	23.892	51	0.0765766
25	25.934	60	0.0900901
26	27.976	73	0.10961
27	30.018	76	0.114114
28	32.060	62	0.0930931
29	34.103	66	0.0990991
30	36.145	62	0.0930931
31	38.187	70	0.105105
32	40.229	77	0.115616
33	42.271	69	0.103604
34	44.313	71	0.106607
35	46.356	74	0.111111
36	48.398	78	0.117117
37	50.440	61	0.0915916
38	52.482	69	0.103604
39	54.524	81	0.121622
40	56.566	61	0.0915916
41	58.609	56	0.0840841
42	60.651	86	0.129129
43	62.693	58	0.0870871
44	64.735	73	0.10961
45	66.777	69	0.103604
46	68.819	71	0.106607
47	70.862	72	0.108108
48	72.904	85	0.127628
49	74.946	96	0.144144
50	76.988	93	0.13964
51	79.030	116	0.174174
52	81.072	114	0.171171
53	83.115	140	0.21021
54	85.157	130	0.195195
55	87.199	107	0.160661
56	89.241	120	0.18018
57	91.283	106	0.159159
58	93.325	91	0.136637
59	95.368	85	0.127628
60	97.410	92	0.138138
61	99.452	94	0.141141
62	101.494	95	0.142643
63	103.536	92	0.138138
64	105.578	92	0.138138
65	107.621	89	0.133634
66	109.663	82	0.123123
67	111.705	87	0.130631
68	113.747	79	0.118619
69	115.789	89	0.133634
70	117.831	80	0.12012
71	119.874	85	0.127628
72	121.916	74	0.111111
73	123.958	78	0.117117
74	126.000	77	0.115616
75	128.042	70	0.105105
76	130.084	93	0.13964
77	132.127	58	0.0870871
78	134.169	61	0.0915916
79	136.211	75	0.112613
80	138.253	82	0.123123
81	140.295	76	0.114114
82	142.337	71	0.106607
83	144.380	73	0.10961
84	146.422	74	0.111111
85	148.464	66	0.0990991
86	150.506	83	0.124625
87	152.548	79	0.118619
88	154.590	67	0.100601
89	156.633	80	0.12012
90	158.675	72	0.108108
91	160.717	82	0.123123
92	162.759	76	0.114114
93	164.801	96	0.144144
94	166.843	81	0.121622
95	168.886	68	0.102102
96	170.928	62	0.0930931
97	172.970	86	0.129129
98	175.012	71	0.106607
99	177.054	77	0.115616
100	179.096	91	0.136637
101	181.139	62	0.0930931
102	183.181	86	0.129129
103	185.223	77	0.115616
104	187.265	65	0.0975976
105	189.307	78	0.117117
106	191.349	76	0.114114
107	193.392	70	0.105105
108	195.434	63	0.0945946
109	197.476	80	0.12012
110	199.518	67	0.100601
111	201.560	74	0.111111
112	203.602	78	0.117117
113	205.645	79	0.118619
114	207.687	75	0.112613
115	209.729	67	0.100601
116	211.771	80	0.12012
117	213.813	65	0.0975976
118	215.855	64	0.0960961
119	217.898	86	0.129129
120	219.940	77	0.115616
