Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,82
10,754
11,1105
12,1162
13,1165
14,1230
15,1170
16,1241
17,1256
18,1306
19,1279
20,1313
21,1375
22,1327
23,1281
24,1314
25,1249
26,1307
27,1259
28,1311
29,1383
30,1375
31,1409
32,1436
33,1359
34,1323
35,1330
36,1297
37,1356
38,1313
39,1360
40,1379
41,1341
42,1332
43,1426
44,1333
45,1315
46,1413
47,1415
48,1491
49,1531
50,1660
51,1730
52,1731
53,1823
54,1833
55,1871
56,1807
57,1755
58,1646
59,1593
60,1565
61,1533
62,1474
63,1516
64,1408
65,1461
66,1348
67,1318
68,1285
69,1329
70,1312
71,1254
72,1291
73,1278
74,1258
75,1300
76,1317
77,1256
78,1287
79,1304
80,1264
81,1326
82,1279
83,1333
84,1334
85,1313
86,1284
87,1341
88,1389
89,1265
90,1302
91,1344
92,1348
93,1344
94,1360
95,1255
96,1471
97,1375
98,1340
99,1388
100,1314
101,1394
102,1337
103,1365
104,1287
105,1358
106,1422
107,1329
108,1335
109,1380
110,1399
111,1323
112,1412
113,1398
114,1407
115,1346
116,1399
117,1396
118,1361
119,1446
120,1360
121,1338
122,1383
123,1323
124,1450
125,1435
126,1486
127,1475
128,1494
129,1434
130,1413
131,1548
132,1507
133,1530
134,1610
135,1572
136,1615
137,1695
138,1650
139,1755
140,1832
141,1816
142,1868
143,1896
144,1977
145,1986
146,2055
147,2066
148,2066
149,2066
150,2118
151,2134
152,2037
153,2034
154,1917
155,2061
156,1987
157,1986
158,1961
159,2079
160,1964
161,1945
162,1951
163,1852
164,1870
165,1872
166,1852
167,1767
168,1785
169,1793
170,1856
171,1712
172,1704
173,1653
174,1772
175,1687
176,1624
177,1744
178,1705
179,1703
180,1613
181,1588
182,1662
183,1620
184,1625
185,1598
186,1564
187,1609
188,1559
189,1551
190,1505
191,1557
192,1515
193,1600
194,1603
195,1510
196,1550
197,1536
198,1517
199,1507
200,1541
201,1483
202,1456
203,1543
204,1457
205,1556
206,1501
207,1496
208,1478
209,1455
210,1447
211,1426
212,1406
213,1385
214,1444
215,1360
216,1407
217,1477
218,1330
219,1373
220,1393
221,1428
222,1363
223,1340
224,1357
225,1325
