#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:40:17
# Real time (s): 307.960
# Live time (s): 300.000
#
# Total counts:  1222569
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  45919
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
1	-23.078	0	0
2	-21.036	0	0
3	-18.994	0	0
4	-16.952	0	0
5	-14.910	0	0
6	-12.867	0	0
7	-10.825	0	0
8	-8.783	0	0
9	-6.741	82	0.273333
10	-4.699	754	2.51333
11	-2.657	1105	3.68333
12	-0.614	1162	3.87333
13	1.428	1165	3.88333
14	3.470	1230	4.1
15	5.512	1170	3.9
16	7.554	1241	4.13667
17	9.597	1256	4.18667
18	11.639	1306	4.35333
19	13.681	1279	4.26333
20	15.723	1313	4.37667
21	17.765	1375	4.58333
22	19.807	1327	4.42333
23	21.850	1281	4.27
24	23.892	1314	4.38
25	25.934	1249	4.16333
26	27.976	1307	4.35667
27	30.018	1259	4.19667
28	32.060	1311	4.37
29	34.103	1383	4.61
30	36.145	1375	4.58333
31	38.187	1409	4.69667
32	40.229	1436	4.78667
33	42.271	1359	4.53
34	44.313	1323	4.41
35	46.356	1330	4.43333
36	48.398	1297	4.32333
37	50.440	1356	4.52
38	52.482	1313	4.37667
39	54.524	1360	4.53333
40	56.566	1379	4.59667
41	58.609	1341	4.47
42	60.651	1332	4.44
43	62.693	1426	4.75333
44	64.735	1333	4.44333
45	66.777	1315	4.38333
46	68.819	1413	4.71
47	70.862	1415	4.71667
48	72.904	1491	4.97
49	74.946	1531	5.10333
50	76.988	1660	5.53333
51	79.030	1730	5.76667
52	81.072	1731	5.77
53	83.115	1823	6.07667
54	85.157	1833	6.11
55	87.199	1871	6.23667
56	89.241	1807	6.02333
57	91.283	1755	5.85
58	93.325	1646	5.48667
59	95.368	1593	5.31
60	97.410	1565	5.21667
61	99.452	1533	5.11
62	101.494	1474	4.91333
63	103.536	1516	5.05333
64	105.578	1408	4.69333
65	107.621	1461	4.87
66	109.663	1348	4.49333
67	111.705	1318	4.39333
68	113.747	1285	4.28333
69	115.789	1329	4.43
70	117.831	1312	4.37333
71	119.874	1254	4.18
72	121.916	1291	4.30333
73	123.958	1278	4.26
74	126.000	1258	4.19333
75	128.042	1300	4.33333
76	130.084	1317	4.39
77	132.127	1256	4.18667
78	134.169	1287	4.29
79	136.211	1304	4.34667
80	138.253	1264	4.21333
81	140.295	1326	4.42
82	142.337	1279	4.26333
83	144.380	1333	4.44333
84	146.422	1334	4.44667
85	148.464	1313	4.37667
86	150.506	1284	4.28
87	152.548	1341	4.47
88	154.590	1389	4.63
89	156.633	1265	4.21667
90	158.675	1302	4.34
91	160.717	1344	4.48
92	162.759	1348	4.49333
93	164.801	1344	4.48
94	166.843	1360	4.53333
95	168.886	1255	4.18333
96	170.928	1471	4.90333
97	172.970	1375	4.58333
98	175.012	1340	4.46667
99	177.054	1388	4.62667
100	179.096	1314	4.38
101	181.139	1394	4.64667
102	183.181	1337	4.45667
103	185.223	1365	4.55
104	187.265	1287	4.29
105	189.307	1358	4.52667
106	191.349	1422	4.74
107	193.392	1329	4.43
108	195.434	1335	4.45
109	197.476	1380	4.6
110	199.518	1399	4.66333
111	201.560	1323	4.41
112	203.602	1412	4.70667
113	205.645	1398	4.66
114	207.687	1407	4.69
115	209.729	1346	4.48667
116	211.771	1399	4.66333
117	213.813	1396	4.65333
118	215.855	1361	4.53667
