Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,468
10,956
11,972
12,964
13,967
14,1044
15,1026
16,982
17,1127
18,1316
19,2001
20,3027
21,4198
22,5085
23,5334
24,5630
25,5501
26,5012
27,4154
28,2963
29,2303
30,1808
31,1564
32,1311
33,1272
34,1156
35,1144
36,1223
37,1203
38,1125
39,1156
40,1136
41,1161
42,1084
43,1150
44,1228
45,1246
46,1157
47,1356
48,1432
49,1636
50,1805
51,1990
52,2071
53,2225
54,2068
55,2090
56,2002
57,1906
58,1773
59,1605
60,1604
61,1433
62,1381
63,1360
64,1299
65,1266
66,1152
67,1102
68,1021
69,1140
70,1041
71,1006
72,1053
73,1060
74,1023
75,1056
76,999
77,979
78,1045
79,1023
80,1052
81,1007
82,1032
83,1008
84,1006
85,980
86,1051
87,1065
88,1001
89,1076
90,1019
91,1023
92,981
93,1055
94,1077
95,1086
96,1076
97,1030
98,1032
99,1089
100,1073
101,1079
102,1051
103,1056
104,1122
105,1052
106,1090
107,1075
108,1081
109,1080
110,1082
111,1052
112,1093
113,1140
114,1124
115,1151
116,1181
117,1134
118,1192
119,1275
120,1253
121,1256
122,1336
123,1390
124,1491
125,1481
126,1527
127,1469
128,1545
129,1593
130,1607
131,1598
132,1603
133,1575
134,1607
135,1611
136,1670
137,1587
138,1656
139,1570
140,1598
141,1578
142,1599
143,1495
144,1593
145,1561
146,1536
147,1554
148,1475
149,1493
150,1438
151,1418
152,1464
153,1335
154,1366
155,1416
156,1368
157,1358
158,1309
159,1241
160,1337
161,1308
162,1358
163,1267
164,1304
165,1304
166,1283
167,1231
168,1278
169,1251
170,1212
171,1154
172,1207
173,1171
174,1158
175,1195
176,1174
177,1162
178,1178
179,1153
180,1095
181,1175
182,1105
183,1131
184,1154
185,1062
186,1135
187,1133
188,1092
189,1060
190,1085
191,1100
192,1076
193,1032
194,1058
195,1036
196,1012
197,1000
198,998
199,1062
200,990
201,1002
202,966
203,985
204,1009
205,960
206,1002
207,972
208,1016
209,1036
210,955
211,1027
212,964
213,930
214,1024
215,992
216,954
217,924
218,925
219,1013
220,979
221,976
222,986
223,989
224,988
225,960
226,1026
227,1018
228,965
229,944
230,985
231,943
