X (Second),CH1 (Volt),CH2 (Volt),
-5.12000e+00,-2.32e+00,-1.84e+00,
-5.11998e+00,-2.32e+00,-1.84e+00,
-5.11996e+00,-2.32e+00,-1.84e+00,
-5.11994e+00,-2.32e+00,-1.84e+00,
-5.11992e+00,-2.32e+00,-1.84e+00,
-5.11990e+00,-2.32e+00,-1.84e+00,
-5.11988e+00,-2.32e+00,-1.84e+00,
-5.11986e+00,-2.32e+00,-1.84e+00,
-5.11984e+00,-2.32e+00,-1.84e+00,
-5.11982e+00,-2.32e+00,-1.84e+00,
-5.11980e+00,-2.32e+00,-1.84e+00,
-5.11978e+00,-2.32e+00,-1.84e+00,
-5.11977e+00,-2.32e+00,-1.76e+00,
-5.11975e+00,-2.32e+00,-1.76e+00,
-5.11973e+00,-2.32e+00,-1.84e+00,
-5.11971e+00,-2.32e+00,-1.84e+00,
-5.11969e+00,-2.32e+00,-1.76e+00,
-5.11967e+00,-2.32e+00,-1.76e+00,
-5.11965e+00,-2.32e+00,-1.84e+00,
-5.11963e+00,-2.32e+00,-1.76e+00,
-5.11961e+00,-2.32e+00,-1.84e+00,
-5.11959e+00,-2.32e+00,-1.84e+00,
-5.11957e+00,-2.32e+00,-1.84e+00,
-5.11955e+00,-2.32e+00,-1.84e+00,
-5.11953e+00,-2.32e+00,-1.84e+00,
-5.11951e+00,-2.32e+00,-1.84e+00,
-5.11949e+00,-2.32e+00,-1.84e+00,
-5.11947e+00,-2.32e+00,-1.76e+00,
-5.11945e+00,-2.32e+00,-1.76e+00,
-5.11943e+00,-2.32e+00,-1.84e+00,
-5.11941e+00,-2.32e+00,-1.84e+00,
-5.11939e+00,-2.32e+00,-1.84e+00,
-5.11937e+00,-2.32e+00,-1.84e+00,
-5.11936e+00,-2.32e+00,-1.84e+00,
-5.11934e+00,-2.32e+00,-1.84e+00,
-5.11932e+00,-2.32e+00,-1.84e+00,
-5.11930e+00,-2.32e+00,-1.84e+00,
-5.11928e+00,-2.32e+00,-1.84e+00,
-5.11926e+00,-2.32e+00,-1.84e+00,
-5.11924e+00,-2.32e+00,-1.84e+00,
-5.11922e+00,-2.32e+00,-1.84e+00,
-5.11920e+00,-2.32e+00,-1.84e+00,
-5.11918e+00,-2.32e+00,-1.76e+00,
-5.11916e+00,-2.32e+00,-1.84e+00,
-5.11914e+00,-2.32e+00,-1.84e+00,
-5.11912e+00,-2.32e+00,-1.76e+00,
-5.11910e+00,-2.32e+00,-1.84e+00,
-5.11908e+00,-2.32e+00,-1.84e+00,
-5.11906e+00,-2.32e+00,-1.84e+00,
-5.11904e+00,-2.32e+00,-1.84e+00,
-5.11902e+00,-2.32e+00,-1.76e+00,
-5.11900e+00,-2.32e+00,-1.76e+00,
-5.11898e+00,-2.32e+00,-1.76e+00,
-5.11896e+00,-2.32e+00,-1.84e+00,
