V,I(365),I(405),I(436),I(486),I(546),I(577),I(589),I(656),656 Chop
-4,-1.79569E-10,-2.26326E-10,-2.80357E-10,-2.48808E-11,-1.89726E-10,-8.63748E-11,-4.2944E-11,-4.7753E-12,
-3.99,-1.75573E-10,-2.17957E-10,-2.74692E-10,-2.15394E-11,-1.83194E-10,-8.36817E-11,-4.0878E-11,-3.69421E-12,
-3.98,-1.74521E-10,-2.14473E-10,-2.73415E-10,-2.00817E-11,-1.79493E-10,-8.26941E-11,-3.96462E-11,-3.14711E-12,
-3.97,-1.72163E-10,-2.1254E-10,-2.71211E-10,-1.9336E-11,-1.77393E-10,-8.16648E-11,-3.83654E-11,-3.01244E-12,
-3.96,-1.71533E-10,-2.11113E-10,-2.67457E-10,-1.81364E-11,-1.76028E-10,-8.06394E-11,-3.76646E-11,-2.59388E-12,
-3.95,-1.6993E-10,-2.08741E-10,-2.65887E-10,-1.91238E-11,-1.75342E-10,-7.9434E-11,-3.70937E-11,-2.1655E-12,
-3.94,-1.68885E-10,-2.05399E-10,-2.66936E-10,-1.84187E-11,-1.75554E-10,-7.91803E-11,-3.69056E-11,-2.07728E-12,
-3.93,-1.69254E-10,-2.04987E-10,-2.69395E-10,-1.76738E-11,-1.75488E-10,-7.92883E-11,-3.66551E-11,-2.19599E-12,
-3.92,-1.68683E-10,-2.05433E-10,-2.66451E-10,-1.74642E-11,-1.74181E-10,-7.84809E-11,-3.62015E-11,-1.93237E-12,
-3.91,-1.67656E-10,-2.04477E-10,-2.63562E-10,-1.72373E-11,-1.74484E-10,-7.77971E-11,-3.58612E-11,-1.82553E-12,
-3.9,-1.65786E-10,-2.03025E-10,-2.63336E-10,-1.75922E-11,-1.73375E-10,-7.73298E-11,-3.55953E-11,-1.66445E-12,-1.66445E-12
-3.89,-1.66321E-10,-2.04111E-10,-2.63322E-10,-1.67004E-11,-1.72802E-10,-7.74602E-11,-3.54203E-11,-1.88366E-12,-1.88366E-12
-3.88,-1.68357E-10,-2.04589E-10,-2.63171E-10,-1.61046E-11,-1.734E-10,-7.71276E-11,-3.56166E-11,-1.93012E-12,-1.93012E-12
-3.87,-1.67762E-10,-2.03647E-10,-2.64457E-10,-1.67546E-11,-1.72645E-10,-7.64143E-11,-3.50642E-11,-1.89123E-12,-1.89123E-12
-3.86,-1.66492E-10,-2.02152E-10,-2.62515E-10,-1.69214E-11,-1.71437E-10,-7.55906E-11,-3.50486E-11,-1.53796E-12,-1.53796E-12
-3.85,-1.6664E-10,-2.0152E-10,-2.61784E-10,-1.58984E-11,-1.71771E-10,-7.50141E-11,-3.49811E-11,-1.59159E-12,-1.59159E-12
-3.84,-1.67622E-10,-2.01551E-10,-2.62606E-10,-1.63518E-11,-1.71127E-10,-7.55305E-11,-3.47782E-11,-1.72565E-12,-1.72565E-12
-3.83,-1.671E-10,-2.02458E-10,-2.6305E-10,-1.63205E-11,-1.69534E-10,-7.54418E-11,-3.48235E-11,-1.9207E-12,-1.9207E-12
-3.82,-1.65221E-10,-2.02784E-10,-2.6186E-10,-1.66005E-11,-1.70141E-10,-7.51651E-11,-3.45132E-11,-1.31794E-12,-1.31794E-12
-3.81,-1.64941E-10,-2.02127E-10,-2.61031E-10,-1.6177E-11,-1.68705E-10,-7.45112E-11,-3.43474E-11,-9.44814E-13,-9.44814E-13
-3.8,-1.65879E-10,-2.00042E-10,-2.60883E-10,-1.5107E-11,-1.71183E-10,-7.36401E-11,-3.41384E-11,-1.25653E-12,-1.25653E-12
-3.79,-1.66378E-10,-1.999E-10,-2.61316E-10,-1.50865E-11,-1.70723E-10,-7.52433E-11,-3.4216E-11,-2.53821E-12,-2.53821E-12
-3.78,-1.66127E-10,-2.00412E-10,-2.61765E-10,-1.57758E-11,-1.70403E-10,-7.54238E-11,-3.44202E-11,-1.92091E-12,-1.92091E-12
-3.77,-1.65224E-10,-2.00664E-10,-2.62623E-10,-1.52525E-11,-1.69946E-10,-7.57222E-11,-3.42596E-11,-1.07499E-12,-1.07499E-12
-3.76,-1.64033E-10,-2.00614E-10,-2.60262E-10,-1.55208E-11,-1.69615E-10,-7.53585E-11,-3.39747E-11,-7.19877E-13,-7.19877E-13
-3.75,-1.64528E-10,-2.00157E-10,-2.59101E-10,-1.55683E-11,-1.7027E-10,-7.47635E-11,-3.38001E-11,-1.45302E-12,-1.45302E-12
-3.74,-1.65575E-10,-2.00139E-10,-2.60041E-10,-1.53577E-11,-1.69629E-10,-7.48976E-11,-3.38105E-11,-1.98211E-12,-1.98211E-12
-3.73,-1.64039E-10,-2.01591E-10,-2.58698E-10,-1.49594E-11,-1.69845E-10,-7.48692E-11,-3.38596E-11,-1.62208E-12,-1.62208E-12
-3.72,-1.63746E-10,-2.00461E-10,-2.58333E-10,-1.48065E-11,-1.69671E-10,-7.50386E-11,-3.41106E-11,-1.14274E-12,-1.14274E-12
-3.71,-1.62721E-10,-2.00544E-10,-2.58165E-10,-1.51825E-11,-1.69369E-10,-7.48552E-11,-3.40017E-11,-1.57358E-12,-1.57358E-12
-3.7,-1.63504E-10,-2.00666E-10,-2.59282E-10,-1.5327E-11,-1.68805E-10,-7.44557E-11,-3.37131E-11,-1.706E-12,-1.706E-12
-3.69,-1.66798E-10,-2.01024E-10,-2.60336E-10,-1.50953E-11,-1.68854E-10,-7.40077E-11,-3.37125E-11,-1.55004E-12,-1.55004E-12
-3.68,-1.65459E-10,-2.01473E-10,-2.57496E-10,-1.46227E-11,-1.69354E-10,-7.40275E-11,-3.37858E-11,-1.34516E-12,-1.34516E-12
-3.67,-1.63261E-10,-2.00705E-10,-2.56294E-10,-1.45805E-11,-1.69569E-10,-7.43022E-11,-3.38087E-11,-4.61577E-13,-4.61577E-13
-3.66,-1.63125E-10,-2.00069E-10,-2.58419E-10,-1.47705E-11,-1.69477E-10,-7.40854E-11,-3.36177E-11,-1.04797E-12,-1.04797E-12
-3.65,-1.62689E-10,-1.99351E-10,-2.58159E-10,-1.50816E-11,-1.68607E-10,-7.38597E-11,-3.32012E-11,-2.19231E-12,-2.19231E-12
-3.64,-1.64573E-10,-1.99346E-10,-2.58914E-10,-1.47531E-11,-1.68336E-10,-7.41287E-11,-3.3261E-11,-1.53223E-12,-1.53223E-12
