V,I (365 nm),I (405 nm),I (436 nm),I (486 nm),I (546 nm),I (577 nm),I (589 nm),I (656 nm)
-4,-1.72473E-10,-2.0507E-10,-2.67001E-10,-2.3011E-11,-1.70888E-10,-8.47638E-11,-4.40982E-11,-6.40559E-12
-3.99,-1.68088E-10,-2.05075E-10,-2.59635E-10,-2.00853E-11,-1.68107E-10,-8.17794E-11,-4.18822E-11,-4.53649E-12
-3.98,-1.66945E-10,-2.07513E-10,-2.55003E-10,-1.8988E-11,-1.66299E-10,-7.97699E-11,-3.80091E-11,-3.28735E-12
-3.97,-1.66267E-10,-2.03432E-10,-2.56642E-10,-1.8487E-11,-1.64638E-10,-7.82634E-11,-3.72508E-11,-2.27706E-12
-3.96,-1.64382E-10,-1.98493E-10,-2.51684E-10,-1.77456E-11,-1.63591E-10,-7.83735E-11,-3.61502E-11,-2.65285E-12
-3.95,-1.62842E-10,-1.9957E-10,-2.49972E-10,-1.75254E-11,-1.63041E-10,-7.88179E-11,-3.56434E-11,-2.35914E-12
-3.94,-1.62875E-10,-1.98078E-10,-2.49134E-10,-1.71343E-11,-1.64328E-10,-7.84206E-11,-3.594E-11,-1.70294E-12
-3.93,-1.60886E-10,-2.00027E-10,-2.48735E-10,-1.66453E-11,-1.59646E-10,-7.58554E-11,-2.88738E-11,-1.70786E-12
-3.92,-1.60716E-10,-1.94868E-10,-2.47502E-10,-1.62779E-11,-1.61843E-10,-7.57758E-11,-4.13232E-11,-1.75984E-12
-3.91,-1.60226E-10,-1.96743E-10,-2.45925E-10,-1.6159E-11,-1.63688E-10,-7.61714E-11,-3.57996E-11,-1.76332E-12
-3.9,-1.59317E-10,-1.99174E-10,-2.45218E-10,-1.59316E-11,-1.60535E-10,-7.68303E-11,-3.56858E-11,-5.71902E-13
-3.89,-1.58427E-10,-1.96892E-10,-2.45059E-10,-1.56653E-11,-1.60115E-10,-7.58464E-11,-3.43356E-11,-8.91607E-13
-3.88,-1.58428E-10,-1.97154E-10,-2.44906E-10,-1.54692E-11,-1.58613E-10,-7.60152E-11,-3.61423E-11,-1.46347E-12
-3.87,-1.58218E-10,-1.96445E-10,-2.44352E-10,-1.59531E-11,-1.67902E-10,-7.54588E-11,-3.1125E-11,-1.44792E-12
-3.86,-1.58296E-10,-1.93492E-10,-2.44501E-10,-1.50705E-11,-1.65927E-10,-7.57275E-11,-3.12359E-11,-1.42479E-12
-3.85,-1.61021E-10,-1.94887E-10,-2.44451E-10,-1.50324E-11,-1.60288E-10,-7.61368E-11,-3.26652E-11,-7.95204E-13
-3.84,-1.57355E-10,-1.96782E-10,-2.43858E-10,-1.49872E-11,-1.54949E-10,-7.56176E-11,-3.38814E-11,-1.95019E-12
-3.83,-1.57423E-10,-1.92688E-10,-2.42438E-10,-1.48341E-11,-1.44509E-10,-7.58181E-11,-3.26775E-11,-1.29502E-12
-3.82,-1.57102E-10,-1.95693E-10,-2.42066E-10,-1.44069E-11,-1.58555E-10,-7.52168E-11,-3.45319E-11,-1.14049E-12
-3.81,-1.57341E-10,-1.97334E-10,-2.41945E-10,-1.44252E-11,-1.60825E-10,-7.52643E-11,-3.49076E-11,-1.57031E-12
-3.8,-1.57343E-10,-1.94394E-10,-2.42099E-10,-1.43416E-11,-1.59746E-10,-7.53445E-11,-3.39903E-11,-1.50809E-12
